BILLABLE_ID,INVOICE_DATE,ACCOUNT_ID,MOBILE_NO,BILL_START_DATE,BILL_END_DATE,COMPANY_NAME,INVOICE_NO,CITY,MONTHLY_RENTAL,USAGE,ONE_TIME_CHARGES,DISCOUNT,TAX,TOTAL_OUTSTANDING
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172148,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172174,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172146,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172147,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172139,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172144,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172142,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172149,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172155,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189800,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189788,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189798,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189801,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189789,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189796,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189787,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189802,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189797,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000189806,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000200871,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000200843,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000200866,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000200855,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000200867,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206084,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206053,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206047,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206069,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206043,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206082,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
